Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"How accurate are medical oncologists' impressions of management of metastatic colorectal cancer in Australia?","/pubmed/28299879","Au L, Turner N, Wong HL, Field K, Lee B, Boadle D, Cooray P, Karikios D, Kosmider S, Lipton L, Nott L, Parente P, Tie J, Tran B, Wong R, Yip D, Shapiro J, Gibbs P.","Asia Pac J Clin Oncol. 2018 Apr;14(2):e167-e174. doi: 10.1111/ajco.12671. Epub 2017 Mar 16.","Asia Pac J Clin Oncol.  2018","PubMed","citation","PMID:28299879","pubmed","28299879","create date:2017/03/17 | first author:Au L",
"Totally laparoscopic associating liver tourniquet and portal vein occlusion for staged hepatectomy combined with simultaneous left hemicolectomy for bilateral liver metastases of the primary colon cancer: A case report.","/pubmed/28296776","Xu HW, Li HY, Liu F, Wei YG, Li B.","Medicine (Baltimore). 2017 Mar;96(11):e6368. doi: 10.1097/MD.0000000000006368.","Medicine (Baltimore).  2017","PubMed","citation","PMID:28296776 | PMCID:PMC5369931","pubmed","28296776","create date:2017/03/16 | first author:Xu HW",
"How Has Virtual Hepatectomy Changed the Practice of Liver Surgery?: Experience of 1194 Virtual Hepatectomy Before Liver Resection and Living Donor Liver Transplantation.","/pubmed/28288065","Mise Y, Hasegawa K, Satou S, Shindoh J, Miki K, Akamatsu N, Arita J, Kaneko J, Sakamoto Y, Kokudo N.","Ann Surg. 2018 Jul;268(1):127-133. doi: 10.1097/SLA.0000000000002213.","Ann Surg.  2018","PubMed","citation","PMID:28288065","pubmed","28288065","create date:2017/03/14 | first author:Mise Y",
"Portal Vein Embolization in the Setting of Staged Hepatectomy with Preservation of Segment IV ± I Only for Bilobar Colorectal Liver Metastases: Safety, Efficacy, and Clinical Outcomes.","/pubmed/28283401","Cassinotto C, Dohan A, Gallix B, Simoneau E, Boucher LM, Metrakos P, Cabrera T, Torres C, Muchantef K, Valenti DA.","J Vasc Interv Radiol. 2017 Jul;28(7):963-970. doi: 10.1016/j.jvir.2017.01.001. Epub 2017 Mar 7.","J Vasc Interv Radiol.  2017","PubMed","citation","PMID:28283401","pubmed","28283401","create date:2017/03/12 | first author:Cassinotto C",
"Elevated Preoperative Carcinoembryonic Antigen and Vascular Endothelial Growth Factor Predict Shorter Survival in Patients with Sigmoid Colon Carcinoma.","/pubmed/28271688","Chen T, Yu L, Li B, Zhang F, Wang Y, Wang X, Liu S, Yang C, Qi H, Yu M, Meng S, Chen T.","Clin Lab. 2017 Mar 1;63(3):445-451. doi: 10.7754/Clin.Lab.2016.160720.","Clin Lab.  2017","PubMed","citation","PMID:28271688","pubmed","28271688","create date:2017/03/09 | first author:Chen T",
"Genetic dissection of colorectal cancer progression by orthotopic transplantation of engineered cancer organoids.","/pubmed/28270604","Fumagalli A, Drost J, Suijkerbuijk SJ, van Boxtel R, de Ligt J, Offerhaus GJ, Begthel H, Beerling E, Tan EH, Sansom OJ, Cuppen E, Clevers H, van Rheenen J.","Proc Natl Acad Sci U S A. 2017 Mar 21;114(12):E2357-E2364. doi: 10.1073/pnas.1701219114. Epub 2017 Mar 7.","Proc Natl Acad Sci U S A.  2017","PubMed","citation","PMID:28270604 | PMCID:PMC5373343","pubmed","28270604","create date:2017/03/09 | first author:Fumagalli A",
"Portal Vein Embolization: Impact of Chemotherapy and Genetic Mutations.","/pubmed/28257031","Deipolyi AR, Zhang YS, Khademhosseini A, Naidu S, Borad M, Sahin B, Mathur AK, Oklu R.","J Clin Med. 2017 Mar 1;6(3). pii: E26. doi: 10.3390/jcm6030026.","J Clin Med.  2017","PubMed","citation","PMID:28257031 | PMCID:PMC5372995","pubmed","28257031","create date:2017/03/04 | first author:Deipolyi AR",
"[Does the sidedness determine the first line treatment of irresectable metastatic colorectal cancer?]","/pubmed/28245681","Kullmann T, Sipőcz I, Pintér T.","Orv Hetil. 2017 Mar;158(9):340-344. doi: 10.1556/650.2017.30682. Hungarian. ","Orv Hetil.  2017","PubMed","citation","PMID:28245681","pubmed","28245681","create date:2017/03/02 | first author:Kullmann T",
"Utility of comprehensive genomic sequencing for detecting HER2-positive colorectal cancer.","/pubmed/28235632","Shimada Y, Yagi R, Kameyama H, Nagahashi M, Ichikawa H, Tajima Y, Okamura T, Nakano M, Nakano M, Sato Y, Matsuzawa T, Sakata J, Kobayashi T, Nogami H, Maruyama S, Takii Y, Kawasaki T, Homma KI, Izutsu H, Kodama K, Ring JE, Protopopov A, et al.","Hum Pathol. 2017 Aug;66:1-9. doi: 10.1016/j.humpath.2017.02.004. Epub 2017 Feb 22.","Hum Pathol.  2017","PubMed","citation","PMID:28235632","pubmed","28235632","create date:2017/02/27 | first author:Shimada Y",
"Simultaneous resection for colorectal cancer with synchronous liver metastases is a safe procedure: Outcomes at a single center in Turkey.","/pubmed/28216517","Dulundu E, Attaallah W, Tilki M, Yegen C, Coskun S, Coskun M, Erdim A, Tanrikulu E, Yardimci S, Gunal O.","Biosci Trends. 2017 May 23;11(2):235-242. doi: 10.5582/bst.2017.01019. Epub 2017 Feb 17.","Biosci Trends.  2017","PubMed","citation","PMID:28216517","pubmed","28216517","create date:2017/02/22 | first author:Dulundu E",
"Rechallenge and maintenance therapy using cetuximab and chemotherapy administered to a patient with metastatic colorectal cancer.","/pubmed/28196490","Ma J, Yang QL, Ling Y.","BMC Cancer. 2017 Feb 14;17(1):132. doi: 10.1186/s12885-017-3133-8.","BMC Cancer.  2017","PubMed","citation","PMID:28196490 | PMCID:PMC5310018","pubmed","28196490","create date:2017/02/16 | first author:Ma J",
"Asymptomatic primary tumour in incurable metastatic colorectal cancer: is there a role for surgical resection prior to systematic therapy or not?","/pubmed/28194248","Samalavicius NE, Dulskas A, Baltruskeviciene E, Smailyte G, Skuciene M, Mikelenaite R, Venslovaite R, Aleknavicius E, Samalavicius A, Lunevicius R.","Wideochir Inne Tech Maloinwazyjne. 2016;11(4):274-282. doi: 10.5114/wiitm.2016.64981. Epub 2016 Dec 31.","Wideochir Inne Tech Maloinwazyjne.  2016","PubMed","citation","PMID:28194248 | PMCID:PMC5299087","pubmed","28194248","create date:2017/02/15 | first author:Samalavicius NE",
"Survival Outcomes for Patients With Indeterminate 18FDG-PET Scan for Extrahepatic Disease Before Liver Resection for Metastatic Colorectal Cancer: A Retrospective Cohort Study Using a Prospectively Maintained Database to Analyze Survival Outcomes for Patients With Indeterminate Extrahepatic Disease ...","/pubmed/28169837","Wong GYM, Kumar R, Beeke C, Ullah S, Chen J, Karapetis C, Price T, Padbury R.","Ann Surg. 2018 May;267(5):929-935. doi: 10.1097/SLA.0000000000002170.","Ann Surg.  2018","PubMed","citation","PMID:28169837","pubmed","28169837","create date:2017/02/09 | first author:Wong GYM",
"Third-line treatment of colorectal liver metastases using DEBIRI chemoembolization.","/pubmed/28160267","Scevola G, Loreni G, Rastelli M, Sposato S, Ramponi S, Miele V.","Med Oncol. 2017 Mar;34(3):37. doi: 10.1007/s12032-017-0890-9. Epub 2017 Feb 3. Erratum in: Med Oncol. 2017 May;34(5):79. ","Med Oncol.  2017","PubMed","citation","PMID:28160267","pubmed","28160267","create date:2017/02/06 | first author:Scevola G",
"[A Case of Unresectable Advanced Rectal Cancer with a Pancreatic Tumor That Was Successfully Treated with FOLFIRINOX].","/pubmed/28133357","Yabe N, Murai S, Ozawa H, Yokose T, Oto I, Yoshikawa T, Kitasato K, Shimizu H, Kojima K, Hasegawa H, Kitagawa Y.","Gan To Kagaku Ryoho. 2016 Nov;43(12):2468-2470. Japanese. ","Gan To Kagaku Ryoho.  2016","PubMed","citation","PMID:28133357","pubmed","28133357","create date:2017/01/31 | first author:Yabe N",
"[A Case of Metastatic Colorectal Cancer with HER2 Overexpression/Amplification].","/pubmed/28133304","Matsumoto A, Shimada Y, Yagi R, Miura K, Tajima Y, Okamura T, Nakano M, Kameyama H, Nogami H, Maruyama S, Takii Y, Ichikawa H, Sakata J, Kobayashi T, Wakai T.","Gan To Kagaku Ryoho. 2016 Nov;43(12):2307-2309. Japanese. ","Gan To Kagaku Ryoho.  2016","PubMed","citation","PMID:28133304","pubmed","28133304","create date:2017/01/31 | first author:Matsumoto A",
"[Unresectable Stage IV Sigmoid Colon Cancer with Extended Resection for Primary Tumor - A Case Report].","/pubmed/28133111","Kimura Y, Suzuki N, Tomochika S, Inoue Y, Tanaka H, Tokuhisa Y, Iida M, Sakamoto K, Takeda S, Ueno T, Yamamoto S, Yoshino S, Hazama S, Nagano H.","Gan To Kagaku Ryoho. 2016 Nov;43(12):1724-1726. Japanese. ","Gan To Kagaku Ryoho.  2016","PubMed","citation","PMID:28133111","pubmed","28133111","create date:2017/01/31 | first author:Kimura Y",
"Totally laparoscopic anatomical liver resection for centrally located tumors: A single center experience.","/pubmed/28121916","Kim WJ, Kim KH, Shin MH, Yoon YI, Lee SG.","Medicine (Baltimore). 2017 Jan;96(4):e5560. doi: 10.1097/MD.0000000000005560.","Medicine (Baltimore).  2017","PubMed","citation","PMID:28121916 | PMCID:PMC5287940","pubmed","28121916","create date:2017/01/26 | first author:Kim WJ",
"Long-term outcomes of radiofrequency ablation combined with hepatectomy compared with hepatectomy alone for colorectal liver metastases.","/pubmed/28112813","Imai K, Allard MA, Castro Benitez C, Vibert E, Sa Cunha A, Cherqui D, Castaing D, Baba H, Adam R.","Br J Surg. 2017 Apr;104(5):570-579. doi: 10.1002/bjs.10447. Epub 2017 Jan 23.","Br J Surg.  2017","PubMed","citation","PMID:28112813","pubmed","28112813","create date:2017/01/24 | first author:Imai K",
"[Association of peripheral nerve invasion with clinicopathological factors and prognosis of colorectal cancer].","/pubmed/28105622","Han D, Wei Y, Wang X, Wang G, Chen Y.","Zhonghua Wei Chang Wai Ke Za Zhi. 2017 Jan 25;20(1):62-66. Chinese. ","Zhonghua Wei Chang Wai Ke Za Zhi.  2017","PubMed","citation","PMID:28105622","pubmed","28105622","create date:2017/01/21 | first author:Han D",
"[Interpretation of the updates of NCCN 2017 version 1.0 guideline for colorectal cancer].","/pubmed/28105616","Chen G.","Zhonghua Wei Chang Wai Ke Za Zhi. 2017 Jan 25;20(1):28-33. Chinese. ","Zhonghua Wei Chang Wai Ke Za Zhi.  2017","PubMed","citation","PMID:28105616","pubmed","28105616","create date:2017/01/21 | first author:Chen G",
"Multidisciplinary Treatment for Colorectal Peritoneal Metastases: Review of the Literature.","/pubmed/28105045","Mo S, Cai G.","Gastroenterol Res Pract. 2016;2016:1516259. doi: 10.1155/2016/1516259. Epub 2016 Dec 26. Review.","Gastroenterol Res Pract.  2016","PubMed","citation","PMID:28105045 | PMCID:PMC5220469","pubmed","28105045","create date:2017/01/21 | first author:Mo S",
"Complex Surgical Strategies to Improve Resectability in Borderline-Resectable Disease.","/pubmed/28090195","Qadan M, D'Angelica MI.","Curr Colorectal Cancer Rep. 2015 Dec;11(6):369-377. doi: 10.1007/s11888-015-0290-5. Epub 2015 Aug 18.","Curr Colorectal Cancer Rep.  2015","PubMed","citation","PMID:28090195 | PMCID:PMC5231889","pubmed","28090195","create date:2017/01/17 | first author:Qadan M",
"Proton beam radiation as salvage therapy for bilateral colorectal liver metastases not amenable to second-stage hepatectomy.","/pubmed/28081954","Colbert LE, Cloyd JM, Koay EJ, Crane CH, Vauthey JN.","Surgery. 2017 Jun;161(6):1543-1548. doi: 10.1016/j.surg.2016.11.034. Epub 2017 Jan 9. Review.","Surgery.  2017","PubMed","citation","PMID:28081954","pubmed","28081954","create date:2017/01/14 | first author:Colbert LE",
"The Relationship Between Health-Related Quality of Life and Survival in Metastatic Colorectal Cancer Patients Treated With Korean Medicine.","/pubmed/28024424","Park S, Eo W, Lee S.","Integr Cancer Ther. 2018 Mar;17(1):65-72. doi: 10.1177/1534735416684015. Epub 2016 Dec 26.","Integr Cancer Ther.  2018","PubMed","citation","PMID:28024424 | PMCID:PMC5950943","pubmed","28024424","create date:2016/12/28 | first author:Park S",
"Detection of Sessile Serrated Adenomas in the Proximal Colon Using Wide-Field Fluorescence Endoscopy.","/pubmed/28012848","Joshi BP, Dai Z, Gao Z, Lee JH, Ghimire N, Chen J, Prabhu A, Wamsteker EJ, Kwon RS, Elta GH, Stoffel EM, Pant A, Kaltenbach T, Soetikno RM, Appelman HD, Kuick R, Turgeon DK, Wang TD.","Gastroenterology. 2017 Apr;152(5):1002-1013.e9. doi: 10.1053/j.gastro.2016.12.009. Epub 2016 Dec 22.","Gastroenterology.  2017","PubMed","citation","PMID:28012848 | PMCID:PMC5771498","pubmed","28012848","create date:2016/12/26 | first author:Joshi BP",
"Synchronous hepatic metastasis and metachronous Krukenberg tumor from advanced colon cancer. A case report with an unexpected disease-free survival.","/pubmed/28012330","Li Destri G, Puzzo L, Russo AE, Ferraù F, Di Cataldo A, Puleo S.","Int J Surg Case Rep. 2017;30:138-141. doi: 10.1016/j.ijscr.2016.11.044. Epub 2016 Nov 23.","Int J Surg Case Rep.  2017","PubMed","citation","PMID:28012330 | PMCID:PMC5192012","pubmed","28012330","create date:2016/12/25 | first author:Li Destri G",
"Colorectal Cancer Liver Metastases and Concurrent Extrahepatic Disease Treated With Resection.","/pubmed/28009741","Leung U, Gönen M, Allen PJ, Kingham TP, DeMatteo RP, Jarnagin WR, D'Angelica MI.","Ann Surg. 2017 Jan;265(1):158-165. doi: 10.1097/SLA.0000000000001624.","Ann Surg.  2017","PubMed","citation","PMID:28009741 | PMCID:PMC4942404","pubmed","28009741","create date:2016/12/24 | first author:Leung U",
"Recent Advances in Chemotherapy and Surgery for Colorectal Liver Metastases.","/pubmed/27995091","Passot G, Soubrane O, Giuliante F, Zimmitti G, Goéré D, Yamashita S, Vauthey JN.","Liver Cancer. 2016 Nov;6(1):72-79. Epub 2016 Nov 29. Review.","Liver Cancer.  2016","PubMed","citation","PMID:27995091 | PMCID:PMC5159720","pubmed","27995091","create date:2016/12/21 | first author:Passot G",
"Lymph node yield is an independent predictor of survival in rectal cancer regardless of receipt of neoadjuvant therapy.","/pubmed/27932667","Xu Z, Berho ME, Becerra AZ, Aquina CT, Hensley BJ, Arsalanizadeh R, Noyes K, Monson JRT, Fleming FJ.","J Clin Pathol. 2017 Jul;70(7):584-592. doi: 10.1136/jclinpath-2016-203995. Epub 2016 Dec 8.","J Clin Pathol.  2017","PubMed","citation","PMID:27932667","pubmed","27932667","create date:2016/12/10 | first author:Xu Z",
"[Changes of diagnosis and treatment for gastrointestinal stromal tumors during a 18-year period in four medical centers of China].","/pubmed/27928797","Qiu H, Zhang P, Feng X, Chen T, Sun X, Yu J, Chen Z, Li Y, Tao K, Li G, Zhou Z.","Zhonghua Wei Chang Wai Ke Za Zhi. 2016 Nov 25;19(11):1265-1270. Chinese. ","Zhonghua Wei Chang Wai Ke Za Zhi.  2016","PubMed","citation","PMID:27928797","pubmed","27928797","create date:2016/12/09 | first author:Qiu H",
"Oncologic outcomes in rectal cancer patients with a ≤1-cm distal resection margin.","/pubmed/27900522","Kang DW, Kwak HD, Sung NS, Yang IS, Baek SJ, Kwak JM, Kim J, Kim SH.","Int J Colorectal Dis. 2017 Mar;32(3):325-332. doi: 10.1007/s00384-016-2708-1. Epub 2016 Nov 29.","Int J Colorectal Dis.  2017","PubMed","citation","PMID:27900522","pubmed","27900522","create date:2016/12/03 | first author:Kang DW",
"Total Transthoracic Approach Facilitates Laparoscopic Hepatic Resection in Patients with Significant Prior Abdominal Surgery.","/pubmed/27878479","Yamashita S, Loyer E, Kang HC, Aloia TA, Chun YS, Mehran RJ, Eng C, Lee JE, Vauthey JN, Conrad C.","Ann Surg Oncol. 2017 May;24(5):1376-1377. doi: 10.1245/s10434-016-5685-2. Epub 2016 Nov 22.","Ann Surg Oncol.  2017","PubMed","citation","PMID:27878479","pubmed","27878479","create date:2016/11/24 | first author:Yamashita S",
"Primary hepatic schwannoma: A case report.","/pubmed/27855352","Yamamoto M, Hasegawa K, Arita J, Maeno R, Akamatsu N, Kaneko J, Watadani T, Okura N, Hayashi A, Shibahara J, Sakamoto Y, Ohtomo K, Fukayama M, Kokudo N.","Int J Surg Case Rep. 2016;29:146-150. doi: 10.1016/j.ijscr.2016.11.009. Epub 2016 Nov 9.","Int J Surg Case Rep.  2016","PubMed","citation","PMID:27855352 | PMCID:PMC5114688","pubmed","27855352","create date:2016/11/18 | first author:Yamamoto M",
"Positron Emission Tomography-Computed Tomography for Patients with Recurrent Colorectal Liver Metastases: Impact on Restaging and Treatment Planning.","/pubmed/27807727","Viganò L, Lopci E, Costa G, Rodari M, Poretti D, Pedicini V, Solbiati L, Chiti A, Torzilli G.","Ann Surg Oncol. 2017 Apr;24(4):1029-1036. doi: 10.1245/s10434-016-5644-y. Epub 2016 Nov 2.","Ann Surg Oncol.  2017","PubMed","citation","PMID:27807727","pubmed","27807727","create date:2016/11/04 | first author:Viganò L",
"The prognostic implications of primary colorectal tumor location on recurrence and overall survival in patients undergoing resection for colorectal liver metastasis.","/pubmed/27792291","Sasaki K, Andreatos N, Margonis GA, He J, Weiss M, Johnston F, Wolfgang C, Antoniou E, Pikoulis E, Pawlik TM.","J Surg Oncol. 2016 Dec;114(7):803-809. doi: 10.1002/jso.24425.","J Surg Oncol.  2016","PubMed","citation","PMID:27792291","pubmed","27792291","create date:2016/10/30 | first author:Sasaki K",
"Efficacy of repeat hepatectomy for recurrence following curative hepatectomy for colorectal liver metastases: A Retrospective Cohort Study of 128 patients.","/pubmed/27741421","Hashimoto M, Kobayashi T, Ishiyama K, Ide K, Ohira M, Tahara H, Kuroda S, Hamaoka M, Iwako H, Okimoto M, Ohdan H.","Int J Surg. 2016 Dec;36(Pt A):96-103. doi: 10.1016/j.ijsu.2016.10.004. Epub 2016 Oct 11.","Int J Surg.  2016","PubMed","citation","PMID:27741421","pubmed","27741421","create date:2016/10/28 | first author:Hashimoto M",
"In vivo tumor identification of colorectal liver metastases with diffuse reflectance and fluorescence spectroscopy.","/pubmed/27605447","Tanis E, Evers DJ, Spliethoff JW, Pully VV, Kuhlmann K, van Coevorden F, Hendriks BH, Sanders J, Prevoo W, Ruers TJ.","Lasers Surg Med. 2016 Nov;48(9):820-827. doi: 10.1002/lsm.22581. Epub 2016 Sep 8.","Lasers Surg Med.  2016","PubMed","citation","PMID:27605447","pubmed","27605447","create date:2016/10/26 | first author:Tanis E",
"Portal supply of segment IV of the liver based on CT-scan.","/pubmed/27757519","Maurer R, Rivoire M, Basso V, Meeus P, Peyrat P, Dupré A.","Surg Radiol Anat. 2017 May;39(5):471-476. doi: 10.1007/s00276-016-1761-3. Epub 2016 Oct 18.","Surg Radiol Anat.  2017","PubMed","citation","PMID:27757519","pubmed","27757519","create date:2016/10/21 | first author:Maurer R",
"A comparison of laparoscopic resection of posterior segments with formal laparoscopic right hepatectomy for colorectal liver metastases: a single-institution study.","/pubmed/27752815","Portigliotti L, Fuks D, Slivca O, Bourdeaux C, Nomi T, Bennamoun M, Gentilli S, Gayet B.","Surg Endosc. 2017 Jun;31(6):2560-2565. doi: 10.1007/s00464-016-5261-7. Epub 2016 Oct 17.","Surg Endosc.  2017","PubMed","citation","PMID:27752815","pubmed","27752815","create date:2016/10/19 | first author:Portigliotti L",
